_id;timestamp;experiment;O1;O2;T3;T4;timestamp_ms;label
;2024-02-27T21:25:18,926Z;37;-1,64039000000000;1,66378000000000;0,23101100000000;0,08503890000000;1709069118926;Noise
;2024-02-27T21:25:18,931Z;37;-1,64039000000000;1,66378000000000;0,23101100000000;0,08503890000000;1709069118930;Noise
;2024-02-27T21:25:18,936Z;37;-1,57045000000000;0,08588300000000;-1,31502000000000;-0,13788700000000;1709069118935;Noise
;2024-02-27T21:25:18,940Z;37;-1,57045000000000;0,08588300000000;-1,31502000000000;-0,13788700000000;1709069118940;Noise
;2024-02-27T21:25:18,945Z;37;-1,57045000000000;0,08588300000000;-1,31502000000000;-0,13788700000000;1709069118945;Noise
;2024-02-27T21:25:18,950Z;37;0,65757100000000;2,66122000000000;2,47365000000000;0,06185800000000;1709069118950;Noise
;2024-02-27T21:25:18,955Z;37;0,65757100000000;2,66122000000000;2,47365000000000;0,06185800000000;1709069118954;Noise
;2024-02-27T21:25:18,960Z;37;0,65757100000000;2,66122000000000;2,47365000000000;0,06185800000000;1709069118960;Noise
;2024-02-27T21:25:18,966Z;37;0,65757100000000;2,66122000000000;2,47365000000000;0,06185800000000;1709069118966;Noise
;2024-02-27T21:25:18,971Z;37;0,99348100000000;3,57802000000000;2,05642000000000;1,19763000000000;1709069118970;Noise
;2024-02-27T21:25:18,976Z;37;0,99348100000000;3,57802000000000;2,05642000000000;1,19763000000000;1709069118975;Noise
;2024-02-27T21:25:18,980Z;37;-1,61748000000000;2,67368000000000;0,85692800000000;-0,42222600000000;1709069118980;Noise
;2024-02-27T21:25:18,985Z;37;-1,61748000000000;2,67368000000000;0,85692800000000;-0,42222600000000;1709069118985;Noise
;2024-02-27T21:25:18,990Z;37;-1,61748000000000;2,67368000000000;0,85692800000000;-0,42222600000000;1709069118989;Noise
;2024-02-27T21:25:18,996Z;37;-2,13164000000000;2,56862000000000;1,91665000000000;-1,10901000000000;1709069118996;Noise
;2024-02-27T21:25:19,002Z;37;-2,13164000000000;0,35305000000000;2,55439000000000;-0,43864300000000;1709069119002;Noise
;2024-02-27T21:25:19,007Z;37;-0,13255000000000;0,35305000000000;2,55439000000000;-0,43864300000000;1709069119007;Noise
;2024-02-27T21:25:19,013Z;37;-1,21639000000000;3,86452000000000;2,41357000000000;0,18988500000000;1709069119013;Noise
;2024-02-27T21:25:19,019Z;37;-1,21639000000000;3,86452000000000;2,41357000000000;0,18988500000000;1709069119018;Noise
;2024-02-27T21:25:19,023Z;37;-1,99144000000000;3,10562000000000;1,78388000000000;-0,40539600000000;1709069119023;Noise
;2024-02-27T21:25:19,028Z;37;-1,99144000000000;3,10562000000000;1,78388000000000;-0,40539600000000;1709069119028;Noise
;2024-02-27T21:25:19,033Z;37;-1,99144000000000;3,10562000000000;1,78388000000000;-0,40539600000000;1709069119033;Noise
;2024-02-27T21:25:19,039Z;37;-1,99144000000000;2,71994000000000;1,29321000000000;-0,70078800000000;1709069119039;Noise
;2024-02-27T21:25:19,044Z;37;-2,79757000000000;2,06848000000000;1,29321000000000;-0,47036500000000;1709069119043;Noise
;2024-02-27T21:25:19,049Z;37;-3,33155000000000;2,06848000000000;1,17352000000000;-0,47036500000000;1709069119048;Noise
;2024-02-27T21:25:19,055Z;37;-2,05783000000000;0,02298000000000;1,57256000000000;0,07549720000000;1709069119055;Noise
;2024-02-27T21:25:19,060Z;37;-2,05783000000000;0,02298000000000;1,57256000000000;0,07549720000000;1709069119059;Noise
;2024-02-27T21:25:19,067Z;37;-2,05783000000000;0,02298000000000;1,57256000000000;0,07549720000000;1709069119067;Noise
;2024-02-27T21:25:19,073Z;37;-1,38089000000000;2,52774000000000;2,29524000000000;-0,17208200000000;1709069119072;Noise
;2024-02-27T21:25:19,079Z;37;-0,53897600000000;2,19731000000000;3,50546000000000;-0,51780100000000;1709069119079;Noise
;2024-02-27T21:25:19,084Z;37;0,04088700000000;1,70668000000000;3,22888000000000;-0,95027600000000;1709069119084;Noise
